run,repeat,sweep,dtype,size,seconds
62696671,0,dispatch,f32,1,1.10754663e-05
62696671,1,dispatch,f32,1,1.12060855e-05
62696671,2,dispatch,f32,1,1.11451522e-05
62696671,3,dispatch,f32,1,1.11328733e-05
62696671,4,dispatch,f32,1,1.11473951e-05
62696671,5,dispatch,f32,1,1.11938418e-05
62696671,6,dispatch,f32,1,1.12024054e-05
62696671,7,dispatch,f32,1,1.11529466e-05
62696671,8,dispatch,f32,1,1.12980304e-05
62696671,9,dispatch,f32,1,1.11653355e-05
62696671,10,dispatch,f32,1,1.13781214e-05
62696671,11,dispatch,f32,1,1.11365077e-05
62696671,12,dispatch,f32,1,1.12458078e-05
62696671,13,dispatch,f32,1,1.12006124e-05
62696671,14,dispatch,f32,1,1.12340538e-05
62696671,15,dispatch,f32,1,1.12883912e-05
62696671,16,dispatch,f32,1,1.12171673e-05
62696671,17,dispatch,f32,1,1.11623107e-05
62696671,18,dispatch,f32,1,1.1131852e-05
62696671,19,dispatch,f32,1,1.11839685e-05
62696671,20,dispatch,f32,1,1.11239224e-05
62696671,21,dispatch,f32,1,1.12012613e-05
62696671,22,dispatch,f32,1,1.12076836e-05
62696671,23,dispatch,f32,1,1.11416598e-05
62696671,24,dispatch,f32,1,1.11851354e-05
62696671,25,dispatch,f32,1,1.1186913e-05
62696671,26,dispatch,f32,1,1.11574014e-05
62696671,27,dispatch,f32,1,1.11616357e-05
62696671,28,dispatch,f32,1,1.11801202e-05
62696671,29,dispatch,f32,1,1.12072107e-05
62696671,30,dispatch,f32,1,1.12105175e-05
62696671,31,dispatch,f32,1,1.11645051e-05
62696671,32,dispatch,f32,1,1.11448759e-05
62696671,33,dispatch,f32,1,1.11970655e-05
62696671,34,dispatch,f32,1,1.11047286e-05
62696671,35,dispatch,f32,1,1.11452116e-05
62696671,36,dispatch,f32,1,1.10661027e-05
62696671,37,dispatch,f32,1,1.11068607e-05
62696671,38,dispatch,f32,1,1.11603961e-05
62696671,39,dispatch,f32,1,1.11761667e-05
62696671,40,dispatch,f32,1,1.1191615e-05
62696671,41,dispatch,f32,1,1.11348079e-05
62696671,42,dispatch,f32,1,1.11838151e-05
62696671,43,dispatch,f32,1,1.11262988e-05
62696671,44,dispatch,f32,1,1.12225e-05
62696671,45,dispatch,f32,1,1.11228167e-05
62696671,46,dispatch,f32,1,1.11102682e-05
62696671,47,dispatch,f32,1,1.11347829e-05
62696671,48,dispatch,f32,1,1.11181221e-05
62696671,49,dispatch,f32,1,1.1227237e-05
62696671,50,dispatch,f32,1,1.11520281e-05
62696671,51,dispatch,f32,1,1.11870257e-05
62696671,52,dispatch,f32,1,1.11121029e-05
62696671,53,dispatch,f32,1,1.11456552e-05
62696671,54,dispatch,f32,1,1.11658247e-05
62696671,55,dispatch,f32,1,1.11437168e-05
62696671,56,dispatch,f32,1,1.1181067e-05
