run,repeat,sweep,dtype,size,seconds
62696655,0,dispatch,f32,1,0.000130582561
62696655,1,dispatch,f32,1,0.00013373159
62696655,2,dispatch,f32,1,0.000149106355
62696655,3,dispatch,f32,1,0.000160880173
62696655,4,dispatch,f32,1,0.000152931883
62696655,5,dispatch,f32,1,0.000141350618
62696655,6,dispatch,f32,1,0.000158001503
62696655,7,dispatch,f32,1,0.000158788674
62696655,8,dispatch,f32,1,0.000157454282
62696655,9,dispatch,f32,1,0.000156925898
62696655,10,dispatch,f32,1,0.00015372445
62696655,11,dispatch,f32,1,0.000139917848
62696655,12,dispatch,f32,1,0.000134456671
62696655,13,dispatch,f32,1,0.000139990736
62696655,14,dispatch,f32,1,0.000147945438
62696655,15,dispatch,f32,1,0.000152115277
62696655,16,dispatch,f32,1,0.000152564198
62696655,17,dispatch,f32,1,0.000144188024
62696655,18,dispatch,f32,1,0.000147407037
62696655,19,dispatch,f32,1,0.000152202783
62696655,20,dispatch,f32,1,0.00015861384
62696655,21,dispatch,f32,1,0.00016239739
62696655,22,dispatch,f32,1,0.000160764537
62696655,23,dispatch,f32,1,0.0001578844
62696655,24,dispatch,f32,1,0.000158102372
62696655,25,dispatch,f32,1,0.000158699023
62696655,26,dispatch,f32,1,0.000158256207
62696655,27,dispatch,f32,1,0.000139964162
62696655,28,dispatch,f32,1,0.000132903035
62696655,29,dispatch,f32,1,0.000142504844
62696655,30,dispatch,f32,1,0.000142256284
62696655,31,dispatch,f32,1,0.000143053464
62696655,32,dispatch,f32,1,0.00014222573
62696655,33,dispatch,f32,1,0.00014203705
62696655,34,dispatch,f32,1,0.0001426822
62696655,35,dispatch,f32,1,0.00014304299
62696655,36,dispatch,f32,1,0.000148214403
62696655,37,dispatch,f32,1,0.000148893928
62696655,38,dispatch,f32,1,0.000150087414
62696655,39,dispatch,f32,1,0.000156750483
62696655,40,dispatch,f32,1,0.00015218319
62696655,41,dispatch,f32,1,0.000158638951
62696655,42,dispatch,f32,1,0.000157993623
62696655,43,dispatch,f32,1,0.000157905203
62696655,44,dispatch,f32,1,0.000156251051
62696655,45,dispatch,f32,1,0.000157785813
62696655,46,dispatch,f32,1,0.000157375389
62696655,47,dispatch,f32,1,0.000162497809
62696655,48,dispatch,f32,1,0.000162766298
62696655,49,dispatch,f32,1,0.000157576044
62696655,50,dispatch,f32,1,0.000158053987
62696655,51,dispatch,f32,1,0.000157106059
62696655,52,dispatch,f32,1,0.00015786252
62696655,53,dispatch,f32,1,0.000149519112
62696655,54,dispatch,f32,1,0.000152743977
62696655,55,dispatch,f32,1,0.000139559081
62696655,56,dispatch,f32,1,0.000147697192
62696655,57,dispatch,f32,1,0.000146270722
62696655,58,dispatch,f32,1,0.000149952334
62696655,59,dispatch,f32,1,0.000152589707
62696655,60,dispatch,f32,1,0.000157811599
62696655,61,dispatch,f32,1,0.00015333661
62696655,62,dispatch,f32,1,0.000139309055
