run,repeat,sweep,dtype,size,seconds
62696656,0,dispatch,f32,1,0.000110181555
62696656,1,dispatch,f32,1,0.000109727814
62696656,2,dispatch,f32,1,0.000114197794
62696656,3,dispatch,f32,1,0.000108737572
62696656,4,dispatch,f32,1,0.000110059134
62696656,5,dispatch,f32,1,0.000108533613
62696656,6,dispatch,f32,1,0.000108055812
62696656,7,dispatch,f32,1,0.000108178375
62696656,8,dispatch,f32,1,0.000108599818
62696656,9,dispatch,f32,1,0.000108984916
62696656,10,dispatch,f32,1,0.000100555473
62696656,11,dispatch,f32,1,0.000107242243
62696656,12,dispatch,f32,1,0.000108570432
62696656,13,dispatch,f32,1,0.000108848543
62696656,14,dispatch,f32,1,0.000102175106
62696656,15,dispatch,f32,1,9.98801743e-05
62696656,16,dispatch,f32,1,0.000101382407
62696656,17,dispatch,f32,1,0.000100345644
62696656,18,dispatch,f32,1,0.000107205103
62696656,19,dispatch,f32,1,0.000102032362
62696656,20,dispatch,f32,1,0.000102628339
62696656,21,dispatch,f32,1,0.000109416553
62696656,22,dispatch,f32,1,9.84893702e-05
62696656,23,dispatch,f32,1,0.000100294849
62696656,24,dispatch,f32,1,9.87435059e-05
62696656,25,dispatch,f32,1,0.000106256433
62696656,26,dispatch,f32,1,0.000100551662
62696656,27,dispatch,f32,1,0.000100590923
62696656,28,dispatch,f32,1,9.87647228e-05
62696656,29,dispatch,f32,1,9.63750412e-05
62696656,30,dispatch,f32,1,8.49975782e-05
62696656,31,dispatch,f32,1,0.000100072537
62696656,32,dispatch,f32,1,9.88588223e-05
62696656,33,dispatch,f32,1,9.96798547e-05
62696656,34,dispatch,f32,1,0.000106394107
62696656,35,dispatch,f32,1,0.000102180806
62696656,36,dispatch,f32,1,9.83596633e-05
62696656,37,dispatch,f32,1,9.10744441e-05
62696656,38,dispatch,f32,1,0.000103504103
62696656,39,dispatch,f32,1,0.000108538864
62696656,40,dispatch,f32,1,0.000105492085
62696656,41,dispatch,f32,1,0.00010969211
62696656,42,dispatch,f32,1,0.000112056041
62696656,43,dispatch,f32,1,9.92455457e-05
62696656,44,dispatch,f32,1,0.000100890502
62696656,45,dispatch,f32,1,0.000102877474
62696656,46,dispatch,f32,1,0.000102323898
62696656,47,dispatch,f32,1,0.000101440002
62696656,48,dispatch,f32,1,0.000109035992
62696656,49,dispatch,f32,1,0.000110679209
62696656,50,dispatch,f32,1,0.000110988523
62696656,51,dispatch,f32,1,0.000107130512
62696656,52,dispatch,f32,1,0.000111007321
62696656,53,dispatch,f32,1,0.00011056102
62696656,54,dispatch,f32,1,0.000109435449
62696656,55,dispatch,f32,1,0.000110368234
62696656,56,dispatch,f32,1,0.000110904879
62696656,57,dispatch,f32,1,0.000110357133
62696656,58,dispatch,f32,1,0.000110277726
62696656,59,dispatch,f32,1,0.000108381056
62696656,60,dispatch,f32,1,0.000110136836
62696656,61,dispatch,f32,1,0.000108351886
62696656,62,dispatch,f32,1,0.000102977068
62696656,63,dispatch,f32,1,0.00010174735
62696656,64,dispatch,f32,1,0.000106501386
62696656,65,dispatch,f32,1,0.000101331401
62696656,66,dispatch,f32,1,0.000101801918
62696656,67,dispatch,f32,1,9.91267905e-05
62696656,68,dispatch,f32,1,0.00010044057
62696656,69,dispatch,f32,1,8.49338796e-05
62696656,70,dispatch,f32,1,8.8890101e-05
62696656,71,dispatch,f32,1,0.000104637344
62696656,72,dispatch,f32,1,0.000100155389
62696656,73,dispatch,f32,1,0.000100994692
62696656,74,dispatch,f32,1,0.000105327707
62696656,75,dispatch,f32,1,0.000108850258
62696656,76,dispatch,f32,1,0.000109531313
62696656,77,dispatch,f32,1,0.000108940455
62696656,78,dispatch,f32,1,0.000108778578
62696656,79,dispatch,f32,1,0.000103473634
62696656,80,dispatch,f32,1,0.000101256543
62696656,81,dispatch,f32,1,0.000101774877
62696656,82,dispatch,f32,1,0.000104622849
62696656,83,dispatch,f32,1,0.00010150194
62696656,84,dispatch,f32,1,9.98148879e-05
62696656,85,dispatch,f32,1,0.000102021651
62696656,86,dispatch,f32,1,0.000106326946
62696656,87,dispatch,f32,1,0.000110764512
62696656,88,dispatch,f32,1,0.000103138143
62696656,89,dispatch,f32,1,0.000112525463
62696656,90,dispatch,f32,1,0.00010813105
62696656,91,dispatch,f32,1,0.000109651744
62696656,92,dispatch,f32,1,0.000108253931
62696656,93,dispatch,f32,1,0.000110797417
62696656,94,dispatch,f32,1,0.00010933608
62696656,95,dispatch,f32,1,0.000107723095
62696656,96,dispatch,f32,1,0.00010548738
62696656,97,dispatch,f32,1,0.000109894026
62696656,98,dispatch,f32,1,0.000109974242
62696656,99,dispatch,f32,1,0.000109425443
62696656,100,dispatch,f32,1,0.00010634261
62696656,101,dispatch,f32,1,0.000110317671
62696656,102,dispatch,f32,1,0.00011015577
62696656,103,dispatch,f32,1,0.000111388795
62696656,104,dispatch,f32,1,0.000106684803
62696656,105,dispatch,f32,1,0.000109398389
