run,repeat,sweep,dtype,size,seconds
62684014,0,batch,f16,1,0.000229088743
62684014,1,batch,f16,1,0.000220465244
62684014,2,batch,f16,1,0.000217198812
62684014,3,batch,f16,1,0.000219366013
62684014,4,batch,f16,1,0.000248235238
62684014,5,batch,f16,1,0.00025034462
62684014,6,batch,f16,1,0.000249946462
62684014,7,batch,f16,1,0.000249898341
62684014,8,batch,f16,1,0.000225158145
62684014,9,batch,f16,1,0.000249972661
62684014,10,batch,f16,1,0.000218019811
62684014,11,batch,f16,1,0.000249482662
62684015,0,batch,f16,2,0.000236808413
62684015,1,batch,f16,2,0.000230861155
62684015,2,batch,f16,2,0.000232010695
62684015,3,batch,f16,2,0.000231529183
62684015,4,batch,f16,2,0.000231794211
62684015,5,batch,f16,2,0.000247719698
62684015,6,batch,f16,2,0.000250773141
62684015,7,batch,f16,2,0.000248818761
62684015,8,batch,f16,2,0.000251133693
62684015,9,batch,f16,2,0.000249163513
62684015,10,batch,f16,2,0.000253965901
62684015,11,batch,f16,2,0.000251774041
62684016,0,batch,f16,4,0.000265585198
62684016,1,batch,f16,4,0.000251800367
62684016,2,batch,f16,4,0.000247894148
62684016,3,batch,f16,4,0.000233285901
62684016,4,batch,f16,4,0.000232149598
62684016,5,batch,f16,4,0.000231238696
62684016,6,batch,f16,4,0.000231951417
62684016,7,batch,f16,4,0.000232256089
62684016,8,batch,f16,4,0.000250140026
62684016,9,batch,f16,4,0.000249947543
62684016,10,batch,f16,4,0.00023550621
62684016,11,batch,f16,4,0.000231360239
62684017,0,batch,f16,8,0.000250361274
62684017,1,batch,f16,8,0.000236497969
62684017,2,batch,f16,8,0.000233365141
62684017,3,batch,f16,8,0.000230683978
62684017,4,batch,f16,8,0.000235125634
62684017,5,batch,f16,8,0.000237045721
62684017,6,batch,f16,8,0.000250608455
62684017,7,batch,f16,8,0.000250113606
62684017,8,batch,f16,8,0.000256858837
62684017,9,batch,f16,8,0.000256199432
62684017,10,batch,f16,8,0.000261082163
62684017,11,batch,f16,8,0.000255973872
62684018,0,batch,f16,16,0.000296524572
