label,sweep,dtype,device,machine,host,fn,d,batch,version
1080_ti,batch,f16,NVIDIA GeForce GTX 1080 Ti,NVIDIA GeForce GTX 1080 Ti,gypsum-gpu116,Ackley,64,,0.11.0
1080_ti,batch,f32,NVIDIA GeForce GTX 1080 Ti,NVIDIA GeForce GTX 1080 Ti,gypsum-gpu127,Ackley,64,,0.11.0
1080_ti,batch,f64,NVIDIA GeForce GTX 1080 Ti,NVIDIA GeForce GTX 1080 Ti,gypsum-gpu147,Ackley,64,,0.11.0
1080_ti,dim,f16,NVIDIA GeForce GTX 1080 Ti,NVIDIA GeForce GTX 1080 Ti,gypsum-gpu116,Ackley,,1024,0.11.0
1080_ti,dim,f32,NVIDIA GeForce GTX 1080 Ti,NVIDIA GeForce GTX 1080 Ti,gypsum-gpu121,Ackley,,1024,0.11.0
1080_ti,dim,f64,NVIDIA GeForce GTX 1080 Ti,NVIDIA GeForce GTX 1080 Ti,gypsum-gpu121,Ackley,,1024,0.11.0
2080_ti,batch,f16,NVIDIA GeForce RTX 2080 Ti,NVIDIA GeForce RTX 2080 Ti,gypsum-gpu192,Ackley,64,,0.11.0
2080_ti,batch,f32,NVIDIA GeForce RTX 2080 Ti,NVIDIA GeForce RTX 2080 Ti,gypsum-gpu191,Ackley,64,,0.11.0
2080_ti,batch,f64,NVIDIA GeForce RTX 2080 Ti,NVIDIA GeForce RTX 2080 Ti,gypsum-gpu192,Ackley,64,,0.11.0
2080_ti,dim,f16,NVIDIA GeForce RTX 2080 Ti,NVIDIA GeForce RTX 2080 Ti,gypsum-gpu191,Ackley,,1024,0.11.0
2080_ti,dim,f32,NVIDIA GeForce RTX 2080 Ti,NVIDIA GeForce RTX 2080 Ti,gypsum-gpu192,Ackley,,1024,0.11.0
2080_ti,dim,f64,NVIDIA GeForce RTX 2080 Ti,NVIDIA GeForce RTX 2080 Ti,gypsum-gpu192,Ackley,,1024,0.11.0
a100,batch,f16,NVIDIA A100-SXM4-80GB,NVIDIA A100-SXM4-80GB,gpu015,Ackley,64,,0.11.0
a100,batch,f32,NVIDIA A100-SXM4-80GB,NVIDIA A100-SXM4-80GB,gpu015,Ackley,64,,0.11.0
a100,batch,f64,NVIDIA A100-SXM4-80GB,NVIDIA A100-SXM4-80GB,gpu015,Ackley,64,,0.11.0
a100,dim,f16,NVIDIA A100-SXM4-80GB,NVIDIA A100-SXM4-80GB,gpu015,Ackley,,1024,0.11.0
a100,dim,f32,NVIDIA A100-SXM4-80GB,NVIDIA A100-SXM4-80GB,gpu020,Ackley,,1024,0.11.0
a100,dim,f64,NVIDIA A100-SXM4-80GB,NVIDIA A100-SXM4-80GB,gpu015,Ackley,,1024,0.11.0
a16,batch,f16,NVIDIA A16,NVIDIA A16,gpu059,Ackley,64,,0.11.0
a16,batch,f32,NVIDIA A16,NVIDIA A16,gpu059,Ackley,64,,0.11.0
a16,batch,f64,NVIDIA A16,NVIDIA A16,gpu048,Ackley,64,,0.11.0
a16,dim,f16,NVIDIA A16,NVIDIA A16,gpu059,Ackley,,1024,0.11.0
