run,repeat,sweep,dtype,size,seconds
62696761,0,batch,f16,1,5.85583687e-05
62696761,1,batch,f16,1,5.88410121e-05
62696761,2,batch,f16,1,5.86687207e-05
62696761,3,batch,f16,1,5.86364968e-05
62696761,4,batch,f16,1,5.86886681e-05
62696761,5,batch,f16,1,5.8612358e-05
62696761,6,batch,f16,1,5.85905077e-05
62696761,7,batch,f16,1,5.85026994e-05
62696761,8,batch,f16,1,5.9062513e-05
62696761,9,batch,f16,1,5.88124962e-05
62696761,10,batch,f16,1,5.90087349e-05
62696761,11,batch,f16,1,5.84668074e-05
62696766,0,batch,f16,2,6.03795e-05
62696766,1,batch,f16,2,6.08628591e-05
62696766,2,batch,f16,2,6.11388718e-05
62696766,3,batch,f16,2,6.09085092e-05
62696766,4,batch,f16,2,5.9980788e-05
62696766,5,batch,f16,2,6.04559617e-05
62696766,6,batch,f16,2,6.11426023e-05
62696766,7,batch,f16,2,6.08317321e-05
62696766,8,batch,f16,2,6.08049339e-05
62696766,9,batch,f16,2,6.06583379e-05
62696766,10,batch,f16,2,6.09880052e-05
62696766,11,batch,f16,2,6.06648926e-05
62696770,0,batch,f16,4,6.02994364e-05
62696770,1,batch,f16,4,6.04571999e-05
62696770,2,batch,f16,4,6.01131284e-05
62696770,3,batch,f16,4,5.97737995e-05
62696770,4,batch,f16,4,5.95619295e-05
62696770,5,batch,f16,4,6.01830474e-05
62696770,6,batch,f16,4,6.03384769e-05
62696770,7,batch,f16,4,6.02733792e-05
62696770,8,batch,f16,4,6.03461555e-05
62696770,9,batch,f16,4,6.01847782e-05
62696770,10,batch,f16,4,6.0104724e-05
62696770,11,batch,f16,4,6.01955314e-05
62696771,0,batch,f16,8,6.96509222e-05
62696771,1,batch,f16,8,7.04852896e-05
62696771,2,batch,f16,8,7.0209726e-05
62696771,3,batch,f16,8,7.05034377e-05
62696771,4,batch,f16,8,7.0343469e-05
62696771,5,batch,f16,8,7.01404262e-05
62696771,6,batch,f16,8,7.03409378e-05
62696771,7,batch,f16,8,7.03319352e-05
62696771,8,batch,f16,8,7.04782946e-05
62696771,9,batch,f16,8,7.04432926e-05
62696771,10,batch,f16,8,7.03715204e-05
62696771,11,batch,f16,8,7.00409374e-05
62696774,0,batch,f16,16,7.46925998e-05
62696774,1,batch,f16,16,7.52567382e-05
62696774,2,batch,f16,16,7.43563669e-05
62696774,3,batch,f16,16,7.38277934e-05
62696774,4,batch,f16,16,7.3923706e-05
