run,repeat,sweep,dtype,size,seconds
62687008,0,batch,f16,1,0.000342710575
62687008,1,batch,f16,1,0.00035430487
62687008,2,batch,f16,1,0.000304877657
62687008,3,batch,f16,1,0.000568057054
62687008,4,batch,f16,1,0.00057072443
62687008,5,batch,f16,1,0.000392304792
62687008,6,batch,f16,1,0.000411414973
62687008,7,batch,f16,1,0.00058299813
62687008,8,batch,f16,1,0.000590700556
62687008,9,batch,f16,1,0.000445761181
62687008,10,batch,f16,1,0.000423395343
62687008,11,batch,f16,1,0.000592575139
62687009,0,batch,f16,2,0.000382391828
62687009,1,batch,f16,2,0.000433192848
62687009,2,batch,f16,2,0.000441536127
62687009,3,batch,f16,2,0.000464941859
62687009,4,batch,f16,2,0.000408448511
62687009,5,batch,f16,2,0.000259103709
62687009,6,batch,f16,2,0.00052596968
62687009,7,batch,f16,2,0.000798789473
62687009,8,batch,f16,2,0.000417693008
62687009,9,batch,f16,2,0.000679150907
62687009,10,batch,f16,2,0.000622241785
62687009,11,batch,f16,2,0.000536058768
62687010,0,batch,f16,4,0.00053394479
62687010,1,batch,f16,4,0.000502599283
62687010,2,batch,f16,4,0.000772168191
62687010,3,batch,f16,4,0.000713007549
62687010,4,batch,f16,4,0.000587724602
62687010,5,batch,f16,4,0.000689145881
62687010,6,batch,f16,4,0.000482259721
62687010,7,batch,f16,4,0.000381608008
62687010,8,batch,f16,4,0.000631849577
62687010,9,batch,f16,4,0.000547716257
62687010,10,batch,f16,4,0.000519910348
62687010,11,batch,f16,4,0.000462680943
62687021,0,batch,f16,8,0.000659129068
62687021,1,batch,f16,8,0.000784934972
62687021,2,batch,f16,8,0.000618349121
62687021,3,batch,f16,8,0.000301736741
62687021,4,batch,f16,8,0.000280394353
62687021,5,batch,f16,8,0.000352065297
62687021,6,batch,f16,8,0.000312156841
62687021,7,batch,f16,8,0.000484292298
62687021,8,batch,f16,8,0.000722050971
62687021,9,batch,f16,8,0.0005318775
62687021,10,batch,f16,8,0.000527737884
62687021,11,batch,f16,8,0.000493476075
62687022,0,batch,f16,16,0.00036178509
62687022,1,batch,f16,16,0.000466860517
62687022,2,batch,f16,16,0.00043895707
62687022,3,batch,f16,16,0.000407011593
62687022,4,batch,f16,16,0.000404799486
62687022,5,batch,f16,16,0.000589189771
62687022,6,batch,f16,16,0.000397824912
62687022,7,batch,f16,16,0.000378541778
62687022,8,batch,f16,16,0.000515544631
62687022,9,batch,f16,16,0.000477986577
62687022,10,batch,f16,16,0.000524691645
62687022,11,batch,f16,16,0.000465000614
62687023,0,batch,f16,32,0.000449580458
62687023,1,batch,f16,32,0.000586380579
62687023,2,batch,f16,32,0.00077068475
62687023,3,batch,f16,32,0.000440684968
62687023,4,batch,f16,32,0.000540665078
62687023,5,batch,f16,32,0.000399687969
62687023,6,batch,f16,32,0.000487337515
62687023,7,batch,f16,32,0.000475583593
62687023,8,batch,f16,32,0.000566439746
62687023,9,batch,f16,32,0.000784150207
62687023,10,batch,f16,32,0.000819695639
62687023,11,batch,f16,32,0.000616648193
62687032,0,batch,f16,64,0.000392573922
62687032,1,batch,f16,64,0.000414828219
62687032,2,batch,f16,64,0.000395429375
62687032,3,batch,f16,64,0.000441802477
62687032,4,batch,f16,64,0.000373383266
62687032,5,batch,f16,64,0.000398828885
62687032,6,batch,f16,64,0.000659502318
62687032,7,batch,f16,64,0.000564430779
62687032,8,batch,f16,64,0.000585863952
62687032,9,batch,f16,64,0.000522685201
62687032,10,batch,f16,64,0.000751849762
62687032,11,batch,f16,64,0.000655258856
62687033,0,batch,f16,128,0.000465951921
62687033,1,batch,f16,128,0.000321889924
62687033,2,batch,f16,128,0.000564739142
62687033,3,batch,f16,128,0.000533322127
62687033,4,batch,f16,128,0.000624573417
62687033,5,batch,f16,128,0.000625380812
62687033,6,batch,f16,128,0.00055829878
62687033,7,batch,f16,128,0.000705182885
62687033,8,batch,f16,128,0.000294070821
62687033,9,batch,f16,128,0.000387757768
62687033,10,batch,f16,128,0.000388355148
62687033,11,batch,f16,128,0.000380109968
62687034,0,batch,f16,256,0.000388644505
62687034,1,batch,f16,256,0.000280247275
62687034,2,batch,f16,256,0.000389032784
62687034,3,batch,f16,256,0.000390513462
62687034,4,batch,f16,256,0.000504244012
62687034,5,batch,f16,256,0.000603323961
62687034,6,batch,f16,256,0.000491098443
62687034,7,batch,f16,256,0.000422017086
