run,repeat,sweep,dtype,size,seconds
62699212,0,batch,f16,1,0.000149251325
62699212,1,batch,f16,1,0.000143702008
62699212,2,batch,f16,1,0.000138416717
62699212,3,batch,f16,1,0.000139454982
62699212,4,batch,f16,1,0.000135873628
62699212,5,batch,f16,1,0.000121757144
62699212,6,batch,f16,1,0.000119944889
62699212,7,batch,f16,1,0.00012269041
62699212,8,batch,f16,1,0.00012165756
62699212,9,batch,f16,1,0.000135530058
62699212,10,batch,f16,1,0.000135667368
62699212,11,batch,f16,1,0.000135253647
62699220,0,batch,f16,2,0.000153118177
62699220,1,batch,f16,2,0.000136949394
62699220,2,batch,f16,2,0.0001255048
62699220,3,batch,f16,2,0.000127024679
62699220,4,batch,f16,2,0.000125329343
62699220,5,batch,f16,2,0.000125927611
62699220,6,batch,f16,2,0.000132032003
62699220,7,batch,f16,2,0.000128962198
62699220,8,batch,f16,2,0.000129230722
62699220,9,batch,f16,2,0.000129578902
62699220,10,batch,f16,2,0.00012972113
62699220,11,batch,f16,2,0.00013325654
62699250,0,batch,f16,4,0.000158003474
62699250,1,batch,f16,4,0.000138185137
62699250,2,batch,f16,4,0.000134785197
62699250,3,batch,f16,4,0.0001358877
62699250,4,batch,f16,4,0.000131809848
62699250,5,batch,f16,4,0.000110296677
62699250,6,batch,f16,4,0.00012313951
62699250,7,batch,f16,4,0.000124399197
62699250,8,batch,f16,4,0.000127069126
62699250,9,batch,f16,4,0.000131690318
62699250,10,batch,f16,4,0.000131619009
62699250,11,batch,f16,4,0.000135110749
62699262,0,batch,f16,8,0.000151197068
62699262,1,batch,f16,8,0.000140964466
62699262,2,batch,f16,8,0.000135366631
62699262,3,batch,f16,8,0.000132181438
62699262,4,batch,f16,8,0.000124551734
62699262,5,batch,f16,8,0.000127252663
62699262,6,batch,f16,8,0.000128068579
62699262,7,batch,f16,8,0.000131264734
62699262,8,batch,f16,8,0.0001315375
62699262,9,batch,f16,8,0.000134831627
62699262,10,batch,f16,8,0.000135230344
62699262,11,batch,f16,8,0.000131378386
62699273,0,batch,f16,16,0.000144507271
62699273,1,batch,f16,16,0.000140186417
62699273,2,batch,f16,16,0.000137388459
62699273,3,batch,f16,16,0.000133120929
62699273,4,batch,f16,16,0.00013621019
