run,repeat,sweep,dtype,size,seconds
62752625,0,batch,f16,1,0.000239911075
62752625,1,batch,f16,1,0.000234582064
62752625,2,batch,f16,1,0.000236903809
62752625,3,batch,f16,1,0.000233554015
62752625,4,batch,f16,1,0.000234170164
62752625,5,batch,f16,1,0.000265645716
62752625,6,batch,f16,1,0.000233776079
62752625,7,batch,f16,1,0.000237109788
62752625,8,batch,f16,1,0.000250681618
62752625,9,batch,f16,1,0.000236082325
62752625,10,batch,f16,1,0.000235873403
62752625,11,batch,f16,1,0.000264325869
62752638,0,batch,f16,2,0.000272526654
62752638,1,batch,f16,2,0.000243638361
62752638,2,batch,f16,2,0.000271968759
62752638,3,batch,f16,2,0.000271872003
62752638,4,batch,f16,2,0.000231664832
62752638,5,batch,f16,2,0.000232553138
62752638,6,batch,f16,2,0.000230573545
62752638,7,batch,f16,2,0.00023464367
62752638,8,batch,f16,2,0.000263658675
62752638,9,batch,f16,2,0.000233699694
62752638,10,batch,f16,2,0.000231971787
62752638,11,batch,f16,2,0.000231409432
62752799,0,batch,f16,4,0.00021444276
62752799,1,batch,f16,4,0.000211970443
62752799,2,batch,f16,4,0.000211746962
62752799,3,batch,f16,4,0.000209920522
62752799,4,batch,f16,4,0.000211548143
62752799,5,batch,f16,4,0.000211900104
62752799,6,batch,f16,4,0.000212042718
62752799,7,batch,f16,4,0.000212556151
62752799,8,batch,f16,4,0.000259534895
62752799,9,batch,f16,4,0.000244340096
62752799,10,batch,f16,4,0.000244277174
62752799,11,batch,f16,4,0.000231880934
62752813,0,batch,f16,8,0.000217210329
62752813,1,batch,f16,8,0.000215515304
62752813,2,batch,f16,8,0.000215533442
62752813,3,batch,f16,8,0.000260141406
62752813,4,batch,f16,8,0.00023341199
62752813,5,batch,f16,8,0.00023044581
62752813,6,batch,f16,8,0.000231558887
62752813,7,batch,f16,8,0.000230777764
62752813,8,batch,f16,8,0.000230504422
62752813,9,batch,f16,8,0.000230981529
62752813,10,batch,f16,8,0.000263848937
62752813,11,batch,f16,8,0.000243375273
62752831,0,batch,f16,16,0.000244982571
62752831,1,batch,f16,16,0.000229379313
62752831,2,batch,f16,16,0.000224197684
62752831,3,batch,f16,16,0.000224630752
62752831,4,batch,f16,16,0.00021656615
62752831,5,batch,f16,16,0.000220091816
62752831,6,batch,f16,16,0.000256880317
62752831,7,batch,f16,16,0.000244998795
62752831,8,batch,f16,16,0.000216029572
62752831,9,batch,f16,16,0.000216760075
62752831,10,batch,f16,16,0.000216995255
62752831,11,batch,f16,16,0.000216986708
62752839,0,batch,f16,32,0.000252577409
62752839,1,batch,f16,32,0.000235609004
62752839,2,batch,f16,32,0.000233340631
62752839,3,batch,f16,32,0.000232103953
62752839,4,batch,f16,32,0.000234676284
62752839,5,batch,f16,32,0.000251607195
62752839,6,batch,f16,32,0.000264251173
62752839,7,batch,f16,32,0.000267843753
62752839,8,batch,f16,32,0.000264797933
62752839,9,batch,f16,32,0.000236283478
62752839,10,batch,f16,32,0.000234433156
62752839,11,batch,f16,32,0.000232822796
62752849,0,batch,f16,64,0.00021841321
62752849,1,batch,f16,64,0.000217685598
62752849,2,batch,f16,64,0.000217482908
62752849,3,batch,f16,64,0.0002199075
62752849,4,batch,f16,64,0.000219869954
62752849,5,batch,f16,64,0.000216835084
62752849,6,batch,f16,64,0.000216723616
62752849,7,batch,f16,64,0.00021683214
62752849,8,batch,f16,64,0.00021828131
62752849,9,batch,f16,64,0.000216530568
62752849,10,batch,f16,64,0.000217782893
62752849,11,batch,f16,64,0.000217140074
62752854,0,batch,f16,128,0.000234729929
62752854,1,batch,f16,128,0.000220268364
62752854,2,batch,f16,128,0.000215145737
62752854,3,batch,f16,128,0.000216076498
62752854,4,batch,f16,128,0.000215687188
62752854,5,batch,f16,128,0.000213155715
62752854,6,batch,f16,128,0.000215384369
62752854,7,batch,f16,128,0.000214768646
62752854,8,batch,f16,128,0.000215305616
62752854,9,batch,f16,128,0.00026410608
62752854,10,batch,f16,128,0.000234549248
62752854,11,batch,f16,128,0.000233643816
62752864,0,batch,f16,256,0.000217672408
62752864,1,batch,f16,256,0.000216183593
62752864,2,batch,f16,256,0.000219324847
62752864,3,batch,f16,256,0.000219733021
62752864,4,batch,f16,256,0.000235151893
62752864,5,batch,f16,256,0.000233681963
62752864,6,batch,f16,256,0.000266672711
62752864,7,batch,f16,256,0.000231693141
62752864,8,batch,f16,256,0.000249633701
62752864,9,batch,f16,256,0.00023747285
62752864,10,batch,f16,256,0.000219579563
62752864,11,batch,f16,256,0.000219887356
62752868,0,batch,f16,512,0.000229235919
62752868,1,batch,f16,512,0.000225065724
62752868,2,batch,f16,512,0.000226119361
62752868,3,batch,f16,512,0.00022698536
62752868,4,batch,f16,512,0.000227635537
62752868,5,batch,f16,512,0.000233595664
62752868,6,batch,f16,512,0.00022843094
62752868,7,batch,f16,512,0.000227127291
62752868,8,batch,f16,512,0.000227022839
62752868,9,batch,f16,512,0.000236394209
62752868,10,batch,f16,512,0.000233816814
62752868,11,batch,f16,512,0.000227994028
62752872,0,batch,f16,1024,0.000238381891
62752872,1,batch,f16,1024,0.000226107824
62752872,2,batch,f16,1024,0.000229258462
62752872,3,batch,f16,1024,0.000229148135
62752872,4,batch,f16,1024,0.000224474914
62752872,5,batch,f16,1024,0.00022317549
62752872,6,batch,f16,1024,0.000225120338
62752872,7,batch,f16,1024,0.00024703343
62752872,8,batch,f16,1024,0.000224280381
62752872,9,batch,f16,1024,0.000226497271
62752872,10,batch,f16,1024,0.000225812416
62752872,11,batch,f16,1024,0.000228725932
62752877,0,batch,f16,2048,0.000270359892
62752877,1,batch,f16,2048,0.000226723944
62752877,2,batch,f16,2048,0.000227539993
62752877,3,batch,f16,2048,0.00022751171
62752877,4,batch,f16,2048,0.000227674215
62752877,5,batch,f16,2048,0.000226885939
62752877,6,batch,f16,2048,0.000226551862
62752877,7,batch,f16,2048,0.000230219658
62752877,8,batch,f16,2048,0.000237575807
62752877,9,batch,f16,2048,0.000227328425
62752877,10,batch,f16,2048,0.000227104877
62752877,11,batch,f16,2048,0.000226143767
62752880,0,batch,f16,4096,0.000229974085
62752880,1,batch,f16,4096,0.000232404502
62752880,2,batch,f16,4096,0.000232190648
62752880,3,batch,f16,4096,0.000229037786
62752880,4,batch,f16,4096,0.000228799783
62752880,5,batch,f16,4096,0.000255657297
62752880,6,batch,f16,4096,0.000230941617
62752880,7,batch,f16,4096,0.000237092342
62752880,8,batch,f16,4096,0.000229578992
62752880,9,batch,f16,4096,0.000228621465
62752880,10,batch,f16,4096,0.000238759473
62752880,11,batch,f16,4096,0.000251844888
62752882,0,batch,f16,8192,0.000223630221
62752882,1,batch,f16,8192,0.000214200511
62752882,2,batch,f16,8192,0.000213951993
62752882,3,batch,f16,8192,0.000213091433
62752882,4,batch,f16,8192,0.000214375576
62752882,5,batch,f16,8192,0.000213809365
62752882,6,batch,f16,8192,0.000214963515
62752882,7,batch,f16,8192,0.000214220683
62752882,8,batch,f16,8192,0.000217351794
62752882,9,batch,f16,8192,0.000217391101
62752882,10,batch,f16,8192,0.000213613539
62752882,11,batch,f16,8192,0.000214099452
62752888,0,batch,f16,16384,0.000229961503
62752888,1,batch,f16,16384,0.000228157044
62752888,2,batch,f16,16384,0.000223524851
62752888,3,batch,f16,16384,0.000227786636
62752888,4,batch,f16,16384,0.000239563944
62752888,5,batch,f16,16384,0.000252826245
62752888,6,batch,f16,16384,0.000225145502
62752888,7,batch,f16,16384,0.00023029883
62752888,8,batch,f16,16384,0.000226215392
62752888,9,batch,f16,16384,0.00022745494
62752888,10,batch,f16,16384,0.000262413548
62752888,11,batch,f16,16384,0.000234599753
62752891,0,batch,f16,32768,0.000212247812
62752891,1,batch,f16,32768,0.000212226688
62752891,2,batch,f16,32768,0.00021484468
62752891,3,batch,f16,32768,0.000215035618
62752891,4,batch,f16,32768,0.000217323702
62752891,5,batch,f16,32768,0.000218107719
62752891,6,batch,f16,32768,0.000214759721
62752891,7,batch,f16,32768,0.000214485496
62752891,8,batch,f16,32768,0.000213654675
62752891,9,batch,f16,32768,0.000215080948
62752891,10,batch,f16,32768,0.000215734376
62752891,11,batch,f16,32768,0.000248202098
62752896,0,batch,f16,65536,0.000234451363
62752896,1,batch,f16,65536,0.000232247605
62752896,2,batch,f16,65536,0.000232749973
62752896,3,batch,f16,65536,0.000232437683
62752896,4,batch,f16,65536,0.000230365458
62752896,5,batch,f16,65536,0.000242397195
62752896,6,batch,f16,65536,0.0002604459
62752896,7,batch,f16,65536,0.000254006395
62752896,8,batch,f16,65536,0.000232226778
62752896,9,batch,f16,65536,0.000231068879
62752896,10,batch,f16,65536,0.000233612263
62752896,11,batch,f16,65536,0.000231789371
62752900,0,batch,f16,131072,0.000249687949
62752900,1,batch,f16,131072,0.000247104855
62752900,2,batch,f16,131072,0.000245813405
62752900,3,batch,f16,131072,0.000241021163
62752900,4,batch,f16,131072,0.000247858364
62752900,5,batch,f16,131072,0.000247797176
62752900,6,batch,f16,131072,0.000247542844
62752900,7,batch,f16,131072,0.000246060339
62752900,8,batch,f16,131072,0.000244874408
62752900,9,batch,f16,131072,0.000247045325
62752900,10,batch,f16,131072,0.000253434011
62752900,11,batch,f16,131072,0.000267272038
62752906,0,batch,f16,262144,0.000392002515
62752906,1,batch,f16,262144,0.000388196703
62752906,2,batch,f16,262144,0.00038854604
62752906,3,batch,f16,262144,0.000371714272
62752906,4,batch,f16,262144,0.000386482823
62752906,5,batch,f16,262144,0.000386205039
62752906,6,batch,f16,262144,0.000380487429
62752906,7,batch,f16,262144,0.000384335177
62752906,8,batch,f16,262144,0.000388042712
62752906,9,batch,f16,262144,0.000388373643
62752906,10,batch,f16,262144,0.000389230016
62752906,11,batch,f16,262144,0.000395015963
62752907,0,batch,f16,524288,0.000500069308
62752907,1,batch,f16,524288,0.000519643005
62752907,2,batch,f16,524288,0.000524604053
62752907,3,batch,f16,524288,0.000524310582
62752907,4,batch,f16,524288,0.000519509257
62752907,5,batch,f16,524288,0.00051847667
62752907,6,batch,f16,524288,0.000511201787
62752907,7,batch,f16,524288,0.00051799465
62752907,8,batch,f16,524288,0.000517981525
62752907,9,batch,f16,524288,0.000520213168
62752907,10,batch,f16,524288,0.000518019438
