run,repeat,sweep,dtype,size,seconds
62689169,0,batch,f16,1,0.000167057539
62689169,1,batch,f16,1,0.00015022963
62689169,2,batch,f16,1,0.000166735076
62689169,3,batch,f16,1,0.000150309726
62689169,4,batch,f16,1,0.000179042123
62689169,5,batch,f16,1,0.000180562372
62689169,6,batch,f16,1,0.000173811932
62689169,7,batch,f16,1,0.000171411433
62689169,8,batch,f16,1,0.000166291162
62689169,9,batch,f16,1,0.000166424401
62689169,10,batch,f16,1,0.000166641086
62689169,11,batch,f16,1,0.000166588538
62689177,0,batch,f16,2,0.00014773972
62689177,1,batch,f16,2,0.000150413388
62689177,2,batch,f16,2,0.000150294611
62689177,3,batch,f16,2,0.00015212732
62689177,4,batch,f16,2,0.000149664384
62689177,5,batch,f16,2,0.000150290055
62689177,6,batch,f16,2,0.000153779932
62689177,7,batch,f16,2,0.000147406406
62689177,8,batch,f16,2,0.000149646689
62689177,9,batch,f16,2,0.000152337693
62689177,10,batch,f16,2,0.000152352739
62689177,11,batch,f16,2,0.000153428874
62689178,0,batch,f16,4,0.000153986488
62689178,1,batch,f16,4,0.000183282466
62689178,2,batch,f16,4,0.000175016646
62689178,3,batch,f16,4,0.000178381174
62689178,4,batch,f16,4,0.000157768626
62689178,5,batch,f16,4,0.000157918341
62689178,6,batch,f16,4,0.0001533051
62689178,7,batch,f16,4,0.000152706881
62689178,8,batch,f16,4,0.000154121518
62689178,9,batch,f16,4,0.000157956427
62689178,10,batch,f16,4,0.000183378144
62689178,11,batch,f16,4,0.000182793798
62689181,0,batch,f16,8,0.000155915649
62689181,1,batch,f16,8,0.000165160632
62689181,2,batch,f16,8,0.000161415164
62689181,3,batch,f16,8,0.000162403421
62689181,4,batch,f16,8,0.000155130984
62689181,5,batch,f16,8,0.000165300685
62689181,6,batch,f16,8,0.000163231565
62689181,7,batch,f16,8,0.000154769666
62689181,8,batch,f16,8,0.000156400757
62689181,9,batch,f16,8,0.00016504683
62689181,10,batch,f16,8,0.000161197825
62689181,11,batch,f16,8,0.000166593419
62689182,0,batch,f16,16,0.000156380852
62689182,1,batch,f16,16,0.000156748144
62689182,2,batch,f16,16,0.000157930927
62689182,3,batch,f16,16,0.000160069427
62689182,4,batch,f16,16,0.000158522522
62689182,5,batch,f16,16,0.000156758856
62689182,6,batch,f16,16,0.000157333722
62689182,7,batch,f16,16,0.000152988903
62689182,8,batch,f16,16,0.000152475885
62689182,9,batch,f16,16,0.000155131639
62689182,10,batch,f16,16,0.000155743489
62689182,11,batch,f16,16,0.000159113523
62689183,0,batch,f16,32,0.000154743977
