run,repeat,sweep,dtype,size,seconds
62684021,0,batch,f64,1,0.0071365172
62684021,1,batch,f64,1,0.008595745
62684021,2,batch,f64,1,0.00806388658
62684021,3,batch,f64,1,0.00730104675
62684021,4,batch,f64,1,0.00811513742
62684021,5,batch,f64,1,0.0086167483
62684021,6,batch,f64,1,0.00773397383
62684021,7,batch,f64,1,0.00726691083
62684021,8,batch,f64,1,0.00737062567
62684021,9,batch,f64,1,0.00776858158
62684021,10,batch,f64,1,0.00674702471
62684021,11,batch,f64,1,0.0072988625
62684022,0,batch,f64,2,0.00708323742
62684022,1,batch,f64,2,0.00626431143
62684022,2,batch,f64,2,0.00708895571
62684022,3,batch,f64,2,0.00750267325
62684022,4,batch,f64,2,0.00797688408
62684022,5,batch,f64,2,0.00672227293
62684022,6,batch,f64,2,0.00742382708
62684022,7,batch,f64,2,0.00783097333
62684022,8,batch,f64,2,0.00712564342
62684022,9,batch,f64,2,0.00634471593
62684022,10,batch,f64,2,0.007110668
62684022,11,batch,f64,2,0.00675556636
62684023,0,batch,f64,4,0.0077411415
62684023,1,batch,f64,4,0.00769476567
62684023,2,batch,f64,4,0.00648346243
62684023,3,batch,f64,4,0.00759586408
62684023,4,batch,f64,4,0.00720874958
62684023,5,batch,f64,4,0.00775650658
62684023,6,batch,f64,4,0.00770078567
62684023,7,batch,f64,4,0.00761246517
62684023,8,batch,f64,4,0.0086427823
62684023,9,batch,f64,4,0.00730565492
62684023,10,batch,f64,4,0.0084436132
62684023,11,batch,f64,4,0.0084996349
62684024,0,batch,f64,8,0.009529388
62684024,1,batch,f64,8,0.00789055633
62684024,2,batch,f64,8,0.00768574183
62684024,3,batch,f64,8,0.0084197279
62684024,4,batch,f64,8,0.0084629776
62684024,5,batch,f64,8,0.008526359
62684024,6,batch,f64,8,0.0084008702
62684024,7,batch,f64,8,0.00791223833
62684024,8,batch,f64,8,0.00713566483
62684024,9,batch,f64,8,0.00834996317
62684024,10,batch,f64,8,0.0085589296
62684024,11,batch,f64,8,0.00833315083
62684025,0,batch,f64,16,0.018272389
62684025,1,batch,f64,16,0.0171138508
62684025,2,batch,f64,16,0.0190588903
62684025,3,batch,f64,16,0.0172105705
62684025,4,batch,f64,16,0.0173445615
62684025,5,batch,f64,16,0.0183197443
62684025,6,batch,f64,16,0.018261558
62684025,7,batch,f64,16,0.0183863408
62684025,8,batch,f64,16,0.0183900317
62684025,9,batch,f64,16,0.0199935312
62684025,10,batch,f64,16,0.0190902468
62684025,11,batch,f64,16,0.0163945525
62684026,0,batch,f64,32,0.0109301016
62684026,1,batch,f64,32,0.0109281726
62684026,2,batch,f64,32,0.0099800335
62684026,3,batch,f64,32,0.01259104
62684026,4,batch,f64,32,0.00996675775
62684026,5,batch,f64,32,0.010971389
62684026,6,batch,f64,32,0.0101646476
62684026,7,batch,f64,32,0.0109441814
62684026,8,batch,f64,32,0.011482161
62684026,9,batch,f64,32,0.0104815216
62684026,10,batch,f64,32,0.0098747175
62684026,11,batch,f64,32,0.010242564
62684027,0,batch,f64,64,0.0171626943
62684027,1,batch,f64,64,0.015743904
62684027,2,batch,f64,64,0.0158176335
62684027,3,batch,f64,64,0.0150974985
62684027,4,batch,f64,64,0.0153273113
62684027,5,batch,f64,64,0.0153532597
62684027,6,batch,f64,64,0.0151035472
62684027,7,batch,f64,64,0.01599762
62684027,8,batch,f64,64,0.0152801288
62684027,9,batch,f64,64,0.0151548743
62684027,10,batch,f64,64,0.014456389
62684027,11,batch,f64,64,0.0159582453
62684028,0,batch,f64,128,0.0214302765
62684028,1,batch,f64,128,0.0215565733
62684028,2,batch,f64,128,0.0205823902
