run,repeat,sweep,dtype,size,seconds
62686733,0,batch,f64,1,0.004542314
62686733,1,batch,f64,1,0.005615514
62686733,2,batch,f64,1,0.00527721467
62686733,3,batch,f64,1,0.0047800642
62686733,4,batch,f64,1,0.00528409794
62686733,5,batch,f64,1,0.00560109756
62686733,6,batch,f64,1,0.00506506789
62686733,7,batch,f64,1,0.0047932881
62686733,8,batch,f64,1,0.00486896685
62686733,9,batch,f64,1,0.00510838156
62686733,10,batch,f64,1,0.0047892273
62686733,11,batch,f64,1,0.00506249822
62686745,0,batch,f64,2,0.00545512879
62686745,1,batch,f64,2,0.00478478631
62686745,2,batch,f64,2,0.00539964014
62686745,3,batch,f64,2,0.00560411293
62686745,4,batch,f64,2,0.00605466517
62686745,5,batch,f64,2,0.0052272755
62686745,6,batch,f64,2,0.0058924975
62686745,7,batch,f64,2,0.00630927717
62686745,8,batch,f64,2,0.00563713571
62686745,9,batch,f64,2,0.00518249806
62686745,10,batch,f64,2,0.00568188693
62686745,11,batch,f64,2,0.00538345393
62686756,0,batch,f64,4,0.00642669593
62686756,1,batch,f64,4,0.00641860586
62686756,2,batch,f64,4,0.00544553189
62686756,3,batch,f64,4,0.00637419343
62686756,4,batch,f64,4,0.00603779394
62686756,5,batch,f64,4,0.00649885343
62686756,6,batch,f64,4,0.00643779078
62686756,7,batch,f64,4,0.0063334045
62686756,8,batch,f64,4,0.00721266992
62686756,9,batch,f64,4,0.0061344135
62686756,10,batch,f64,4,0.00702861393
62686756,11,batch,f64,4,0.00723256957
62686765,0,batch,f64,8,0.00853065887
62686765,1,batch,f64,8,0.0071923081
62686765,2,batch,f64,8,0.00681835075
62686765,3,batch,f64,8,0.0076403826
62686765,4,batch,f64,8,0.0075499821
62686765,5,batch,f64,8,0.0076795441
62686765,6,batch,f64,8,0.0075065358
62686765,7,batch,f64,8,0.007085097
62686765,8,batch,f64,8,0.00653221416
62686765,9,batch,f64,8,0.0076946567
62686765,10,batch,f64,8,0.0078270968
62686765,11,batch,f64,8,0.0076283368
62686777,0,batch,f64,16,0.00814427841
62686777,1,batch,f64,16,0.00776678992
62686777,2,batch,f64,16,0.0085470515
62686777,3,batch,f64,16,0.00783892617
62686777,4,batch,f64,16,0.007861299
62686777,5,batch,f64,16,0.00830074259
62686777,6,batch,f64,16,0.00809257567
62686777,7,batch,f64,16,0.00816306467
62686777,8,batch,f64,16,0.00830518391
62686777,9,batch,f64,16,0.008938448
62686777,10,batch,f64,16,0.0087329803
62686777,11,batch,f64,16,0.00756953533
62686787,0,batch,f64,32,0.0091408705
62686787,1,batch,f64,32,0.00924381663
62686787,2,batch,f64,32,0.00843399463
62686787,3,batch,f64,32,0.0105448318
62686787,4,batch,f64,32,0.0081806642
62686787,5,batch,f64,32,0.00913566538
62686787,6,batch,f64,32,0.00857449012
62686787,7,batch,f64,32,0.00916504937
62686787,8,batch,f64,32,0.00964289738
62686787,9,batch,f64,32,0.00883123663
62686787,10,batch,f64,32,0.00831901463
62686787,11,batch,f64,32,0.00847651825
62686823,0,batch,f64,64,0.0113933581
62686823,1,batch,f64,64,0.0104907246
62686823,2,batch,f64,64,0.0104782174
62686823,3,batch,f64,64,0.0100229139
62686823,4,batch,f64,64,0.010308945
62686823,5,batch,f64,64,0.0102580505
62686823,6,batch,f64,64,0.0099325355
62686823,7,batch,f64,64,0.010492483
62686823,8,batch,f64,64,0.0100990127
62686823,9,batch,f64,64,0.010108283
62686823,10,batch,f64,64,0.0096571793
62686823,11,batch,f64,64,0.0107050361
62686859,0,batch,f64,128,0.0132079513
62686859,1,batch,f64,128,0.0134254193
62686859,2,batch,f64,128,0.0127342062
62686859,3,batch,f64,128,0.0152505665
62686859,4,batch,f64,128,0.0127656773
62686859,5,batch,f64,128,0.0130712372
62686859,6,batch,f64,128,0.0127774778
62686859,7,batch,f64,128,0.013453507
62686859,8,batch,f64,128,0.0128012622
62686859,9,batch,f64,128,0.0134624408
62686859,10,batch,f64,128,0.0134840727
62686859,11,batch,f64,128,0.0129034498
62686870,0,batch,f64,256,0.018135529
