label,sweep,dtype,device,machine,host,fn,d,batch,version,solver,tol,max_iterations,threads,shards,devices
1080_ti,batch,f32,NVIDIA GeForce GTX 1080 Ti,NVIDIA GeForce GTX 1080 Ti,gypsum-gpu132,Ackley,64,,0.11.0,jax,0.001,1000,all,1,1
1080_ti,batch,f64,NVIDIA GeForce GTX 1080 Ti,NVIDIA GeForce GTX 1080 Ti,gypsum-gpu132,Ackley,64,,0.11.0,jax,1e-09,1000,all,1,1
2080_ti,batch,f32,NVIDIA GeForce RTX 2080 Ti,NVIDIA GeForce RTX 2080 Ti,gypsum-gpu171,Ackley,64,,0.11.0,jax,0.001,1000,all,1,1
2080_ti,batch,f64,NVIDIA GeForce RTX 2080 Ti,NVIDIA GeForce RTX 2080 Ti,gypsum-gpu192,Ackley,64,,0.11.0,jax,1e-09,1000,all,1,1
a100,batch,f32,NVIDIA A100-SXM4-80GB,NVIDIA A100-SXM4-80GB,gpu021,Ackley,64,,0.11.0,jax,0.001,1000,all,1,1
a100,batch,f64,NVIDIA A100-SXM4-80GB,NVIDIA A100-SXM4-80GB,uri-gpu004,Ackley,64,,0.11.0,jax,1e-09,1000,all,1,1
a100,dim,f32,NVIDIA A100-SXM4-80GB,NVIDIA A100-SXM4-80GB,gpu021,Ackley,,1024,0.11.0,jax,0.001*64/d,1000,all,1,1
a16,batch,f32,NVIDIA A16,NVIDIA A16,gpu052,Ackley,64,,0.11.0,jax,0.001,1000,all,1,1
a16,batch,f64,NVIDIA A16,NVIDIA A16,gpu052,Ackley,64,,0.11.0,jax,1e-09,1000,all,1,1
a40,batch,f32,NVIDIA A40,NVIDIA A40,gpu010,Ackley,64,,0.11.0,jax,0.001,1000,all,1,1
a40,batch,f64,NVIDIA A40,NVIDIA A40,gpu008,Ackley,64,,0.11.0,jax,1e-09,1000,all,1,1
a40,dim,f32,NVIDIA A40,NVIDIA A40,gpu010,Ackley,,1024,0.11.0,jax,0.001*64/d,1000,all,1,1
a40,dim,f64,NVIDIA A40,NVIDIA A40,gpu008,Ackley,,1024,0.11.0,jax,1e-09*64/d,1000,all,1,1
a4000,batch,f32,NVIDIA RTX A4000,NVIDIA RTX A4000,gpu047,Ackley,64,,0.11.0,jax,0.001,1000,all,1,1
a4000,batch,f64,NVIDIA RTX A4000,NVIDIA RTX A4000,gpu047,Ackley,64,,0.11.0,jax,1e-09,1000,all,1,1
a4000,dim,f32,NVIDIA RTX A4000,NVIDIA RTX A4000,gpu047,Ackley,,1024,0.11.0,jax,0.001*64/d,1000,all,1,1
cpu-16core,batch,f32,cpu,Intel(R) Xeon(R) Platinum 8352Y CPU @ 2.20GHz,umd-cscdr-cpu034,Ackley,64,,0.11.0,jax,0.001,1000,1,16,16
cpu-16core,batch,f64,cpu,Intel(R) Xeon(R) Platinum 8352Y CPU @ 2.20GHz,umd-cscdr-cpu049,Ackley,64,,0.11.0,jax,1e-09,1000,1,16,16
cpu-16core,dim,f32,cpu,Intel(R) Xeon(R) Platinum 8352Y CPU @ 2.20GHz,umd-cscdr-cpu034,Ackley,,1024,0.11.0,jax,0.001*64/d,1000,1,16,16
