run,repeat,sweep,dtype,size,seconds
62687739,0,batch,f64,1,0.00434435827
62687739,1,batch,f64,1,0.00550516981
62687739,2,batch,f64,1,0.00556587594
62687739,3,batch,f64,1,0.004981355
62687739,4,batch,f64,1,0.00540999767
62687739,5,batch,f64,1,0.00563314745
62687739,6,batch,f64,1,0.005084145
62687739,7,batch,f64,1,0.0049621137
62687739,8,batch,f64,1,0.00513437555
62687739,9,batch,f64,1,0.00518744694
62687739,10,batch,f64,1,0.00460193065
62687739,11,batch,f64,1,0.00500037917
62687740,0,batch,f64,2,0.0045171496
62687740,1,batch,f64,2,0.00424320946
62687740,2,batch,f64,2,0.0045078952
62687740,3,batch,f64,2,0.0046303149
62687740,4,batch,f64,2,0.00517498894
62687740,5,batch,f64,2,0.00420685645
62687740,6,batch,f64,2,0.004513364
62687740,7,batch,f64,2,0.0049980157
62687740,8,batch,f64,2,0.00439971991
62687740,9,batch,f64,2,0.00416061313
62687740,10,batch,f64,2,0.0045794523
62687740,11,batch,f64,2,0.00423653235
62687746,0,batch,f64,4,0.00488770585
62687746,1,batch,f64,4,0.00484007639
62687746,2,batch,f64,4,0.00415234064
62687746,3,batch,f64,4,0.0049004915
62687746,4,batch,f64,4,0.00459107415
62687746,5,batch,f64,4,0.00500573472
62687746,6,batch,f64,4,0.00473474425
62687746,7,batch,f64,4,0.0047651029
62687746,8,batch,f64,4,0.00534522595
62687746,9,batch,f64,4,0.00454012164
62687746,10,batch,f64,4,0.00532885772
62687746,11,batch,f64,4,0.00533381263
62687759,0,batch,f64,8,0.00648605175
62687759,1,batch,f64,8,0.00523327478
62687759,2,batch,f64,8,0.00482033895
62687759,3,batch,f64,8,0.00531292063
62687759,4,batch,f64,8,0.00554485894
62687759,5,batch,f64,8,0.00553258794
62687759,6,batch,f64,8,0.00529419961
62687759,7,batch,f64,8,0.0050582103
62687759,8,batch,f64,8,0.00454826635
62687759,9,batch,f64,8,0.00532205869
62687759,10,batch,f64,8,0.00617437389
62687759,11,batch,f64,8,0.00538357622
62687760,0,batch,f64,16,0.00564792367
62687760,1,batch,f64,16,0.00571715244
62687760,2,batch,f64,16,0.00560023681
62687760,3,batch,f64,16,0.00514371345
62687760,4,batch,f64,16,0.00520534706
62687760,5,batch,f64,16,0.00544469212
62687760,6,batch,f64,16,0.00527771945
62687760,7,batch,f64,16,0.00537558111
62687760,8,batch,f64,16,0.00548274606
62687760,9,batch,f64,16,0.00584263588
62687760,10,batch,f64,16,0.005636857
62687760,11,batch,f64,16,0.0051671685
62687761,0,batch,f64,32,0.00613092381
62687761,1,batch,f64,32,0.00621844256
62687761,2,batch,f64,32,0.00564813512
62687761,3,batch,f64,32,0.0068526405
62687761,4,batch,f64,32,0.00550943381
62687761,5,batch,f64,32,0.00622612029
62687761,6,batch,f64,32,0.00571085162
62687761,7,batch,f64,32,0.00597254407
62687761,8,batch,f64,32,0.00639177886
62687761,9,batch,f64,32,0.0059138375
