run,repeat,sweep,dtype,size,seconds
62732908,0,batch,f64,1,0.00474769415
62732908,1,batch,f64,1,0.00583245119
62732908,2,batch,f64,1,0.00548634687
62732908,3,batch,f64,1,0.00496825639
62732908,4,batch,f64,1,0.00550504694
62732908,5,batch,f64,1,0.00583202712
62732908,6,batch,f64,1,0.005284645
62732908,7,batch,f64,1,0.00495456515
62732908,8,batch,f64,1,0.00500027
62732908,9,batch,f64,1,0.00583703581
62732908,10,batch,f64,1,0.0046255186
62732908,11,batch,f64,1,0.00497536535
62732914,0,batch,f64,2,0.00520469858
62732914,1,batch,f64,2,0.00456136327
62732914,2,batch,f64,2,0.00515611489
62732914,3,batch,f64,2,0.00535018311
62732914,4,batch,f64,2,0.00575463106
62732914,5,batch,f64,2,0.00487337935
62732914,6,batch,f64,2,0.00538944556
62732914,7,batch,f64,2,0.00556222511
62732914,8,batch,f64,2,0.00515789522
62732914,9,batch,f64,2,0.00459835909
62732914,10,batch,f64,2,0.00518220728
62732914,11,batch,f64,2,0.0048704645
62732931,0,batch,f64,4,0.00567870844
62732931,1,batch,f64,4,0.005572292
62732931,2,batch,f64,4,0.00472202435
62732931,3,batch,f64,4,0.00551607025
62732931,4,batch,f64,4,0.00522404433
62732931,5,batch,f64,4,0.00566937818
62732931,6,batch,f64,4,0.00572831212
62732931,7,batch,f64,4,0.00552678069
62732931,8,batch,f64,4,0.00637761864
62732931,9,batch,f64,4,0.00530009944
62732931,10,batch,f64,4,0.00600768225
62732931,11,batch,f64,4,0.00626388712
62732942,0,batch,f64,8,0.0069648125
62732942,1,batch,f64,8,0.00576111118
62732942,2,batch,f64,8,0.00537286117
62732942,3,batch,f64,8,0.00597796087
62732942,4,batch,f64,8,0.00598065531
62732942,5,batch,f64,8,0.006151769
62732942,6,batch,f64,8,0.006000995
62732942,7,batch,f64,8,0.00562657263
62732942,8,batch,f64,8,0.00524038139
62732942,9,batch,f64,8,0.00602146787
62732942,10,batch,f64,8,0.00605310094
62732942,11,batch,f64,8,0.00600415425
62732953,0,batch,f64,16,0.00660153536
62732953,1,batch,f64,16,0.00614585531
62732953,2,batch,f64,16,0.00680345679
62732953,3,batch,f64,16,0.00621805587
62732953,4,batch,f64,16,0.00617102438
62732953,5,batch,f64,16,0.00640043571
62732953,6,batch,f64,16,0.006457461
62732953,7,batch,f64,16,0.00664258857
62732953,8,batch,f64,16,0.00654972807
62732953,9,batch,f64,16,0.00707779243
62732953,10,batch,f64,16,0.00686014364
62732953,11,batch,f64,16,0.00596422119
62732965,0,batch,f64,32,0.00694204372
62732965,1,batch,f64,32,0.00708282307
62732965,2,batch,f64,32,0.00650058271
62732965,3,batch,f64,32,0.008009033
62732965,4,batch,f64,32,0.00645969129
62732965,5,batch,f64,32,0.00699884893
62732965,6,batch,f64,32,0.00664850043
62732965,7,batch,f64,32,0.00697975778
62732965,8,batch,f64,32,0.00744844283
62732965,9,batch,f64,32,0.00671424014
62732965,10,batch,f64,32,0.00640691207
62732965,11,batch,f64,32,0.00665065721
62733015,0,batch,f64,64,0.0083369263
62733015,1,batch,f64,64,0.00780389959
62733015,2,batch,f64,64,0.00759994242
62733015,3,batch,f64,64,0.0072848095
62733015,4,batch,f64,64,0.00753025408
62733015,5,batch,f64,64,0.00765398175
62733015,6,batch,f64,64,0.00732638617
62733015,7,batch,f64,64,0.00789971792
62733015,8,batch,f64,64,0.00741269242
62733015,9,batch,f64,64,0.00743396833
62733015,10,batch,f64,64,0.00709935858
62733015,11,batch,f64,64,0.00792138333
62733069,0,batch,f64,128,0.0085415492
62733069,1,batch,f64,128,0.00820275
62733069,2,batch,f64,128,0.00779455508
62733069,3,batch,f64,128,0.0091284461
62733069,4,batch,f64,128,0.0084690904
62733069,5,batch,f64,128,0.007936633
62733069,6,batch,f64,128,0.00790494358
62733069,7,batch,f64,128,0.00812467683
62733069,8,batch,f64,128,0.007846936
62733069,9,batch,f64,128,0.0082454845
62733069,10,batch,f64,128,0.00821552592
62733069,11,batch,f64,128,0.00783504842
62733086,0,batch,f64,256,0.008066295
62733086,1,batch,f64,256,0.0089773832
62733086,2,batch,f64,256,0.0088396881
62733086,3,batch,f64,256,0.0085981491
62733086,4,batch,f64,256,0.008504958
62733086,5,batch,f64,256,0.00835962966
62733086,6,batch,f64,256,0.0103751831
62733086,7,batch,f64,256,0.00821392908
62733086,8,batch,f64,256,0.0095075492
62733086,9,batch,f64,256,0.0097991526
62733086,10,batch,f64,256,0.008663703
62733086,11,batch,f64,256,0.0093843937
62733091,0,batch,f64,512,0.0098992256
62733091,1,batch,f64,512,0.0108143781
62733091,2,batch,f64,512,0.0090713008
62733091,3,batch,f64,512,0.0096804279
62733091,4,batch,f64,512,0.0097928611
62733091,5,batch,f64,512,0.0097287155
62733091,6,batch,f64,512,0.0093781953
62733091,7,batch,f64,512,0.0095862178
62733091,8,batch,f64,512,0.00998389675
62733091,9,batch,f64,512,0.0101130288
62733091,10,batch,f64,512,0.0103043843
62733091,11,batch,f64,512,0.0092667442
62733099,0,batch,f64,1024,0.0115425878
62733099,1,batch,f64,1024,0.0112712902
62733099,2,batch,f64,1024,0.0121237769
62733099,3,batch,f64,1024,0.0117833479
62733099,4,batch,f64,1024,0.0127856737
62733099,5,batch,f64,1024,0.0108269409
62733099,6,batch,f64,1024,0.011607635
62733099,7,batch,f64,1024,0.0110791306
62733099,8,batch,f64,1024,0.0112661264
62733099,9,batch,f64,1024,0.0119418131
62733099,10,batch,f64,1024,0.013196867
62733099,11,batch,f64,1024,0.0117525094
62733109,0,batch,f64,2048,0.0169921797
62733109,1,batch,f64,2048,0.0152991213
62733109,2,batch,f64,2048,0.0171067277
62733109,3,batch,f64,2048,0.017133452
62733109,4,batch,f64,2048,0.017708984
62733109,5,batch,f64,2048,0.0164802032
62733109,6,batch,f64,2048,0.0154788702
62733109,7,batch,f64,2048,0.01435069
62733109,8,batch,f64,2048,0.0154807428
62733109,9,batch,f64,2048,0.0172007743
62733109,10,batch,f64,2048,0.0149720348
62733109,11,batch,f64,2048,0.0153085235
62733115,0,batch,f64,4096,0.0277268275
62733115,1,batch,f64,4096,0.0252145615
62733115,2,batch,f64,4096,0.024993954
62733115,3,batch,f64,4096,0.026036122
62733115,4,batch,f64,4096,0.026931884
62733115,5,batch,f64,4096,0.0303397485
62733115,6,batch,f64,4096,0.027096717
62733115,7,batch,f64,4096,0.0253125665
62733115,8,batch,f64,4096,0.026279858
62733115,9,batch,f64,4096,0.025122362
62733115,10,batch,f64,4096,0.0261568155
62733115,11,batch,f64,4096,0.0261376465
62733122,0,batch,f64,8192,0.049995452
62733122,1,batch,f64,8192,0.043376539
62733122,2,batch,f64,8192,0.0449517055
62733122,3,batch,f64,8192,0.043711272
62733122,4,batch,f64,8192,0.0463641925
62733122,5,batch,f64,8192,0.044860079
62733122,6,batch,f64,8192,0.04353414
62733122,7,batch,f64,8192,0.045033184
62733122,8,batch,f64,8192,0.0407727415
62733122,9,batch,f64,8192,0.045554781
62733122,10,batch,f64,8192,0.0454555285
62733122,11,batch,f64,8192,0.0407763515
62733136,0,batch,f64,16384,0.087135533
62733136,1,batch,f64,16384,0.081422517
62733136,2,batch,f64,16384,0.084433906
62733136,3,batch,f64,16384,0.08199761
62733136,4,batch,f64,16384,0.08536682
62733136,5,batch,f64,16384,0.083042397
62733136,6,batch,f64,16384,0.08202117
62733136,7,batch,f64,16384,0.080395997
62733136,8,batch,f64,16384,0.081678415
62733136,9,batch,f64,16384,0.090295249
62733136,10,batch,f64,16384,0.085487744
62733136,11,batch,f64,16384,0.085858051
62733147,0,batch,f64,32768,0.165951284
62733147,1,batch,f64,32768,0.171364318
62733147,2,batch,f64,32768,0.168134352
62733147,3,batch,f64,32768,0.167551126
62733147,4,batch,f64,32768,0.161291628
62733147,5,batch,f64,32768,0.154812769
62733147,6,batch,f64,32768,0.177232121
62733147,7,batch,f64,32768,0.157104561
62733147,8,batch,f64,32768,0.160850274
62733147,9,batch,f64,32768,0.152202368
62733147,10,batch,f64,32768,0.156322759
62733147,11,batch,f64,32768,0.172814692
62733154,0,batch,f64,65536,0.328642492
62733154,1,batch,f64,65536,0.328880929
62733154,2,batch,f64,65536,0.359817298
62733154,3,batch,f64,65536,0.329013108
62733154,4,batch,f64,65536,0.33903631
62733154,5,batch,f64,65536,0.350575822
62733154,6,batch,f64,65536,0.315187477
62733154,7,batch,f64,65536,0.328050213
62733154,8,batch,f64,65536,0.32622683
62733154,9,batch,f64,65536,0.368495205
62733154,10,batch,f64,65536,0.348257211
62733154,11,batch,f64,65536,0.317522523
62733169,0,batch,f64,131072,0.701999475
62733169,1,batch,f64,131072,0.654652311
62733169,2,batch,f64,131072,0.706858351
62733169,3,batch,f64,131072,0.675275671
62733169,4,batch,f64,131072,0.678843202
62733169,5,batch,f64,131072,0.678393721
62733169,6,batch,f64,131072,0.703344669
62733169,7,batch,f64,131072,0.659850581
62733169,8,batch,f64,131072,0.67851531
62733169,9,batch,f64,131072,0.657101946
62733169,10,batch,f64,131072,0.676882681
62733169,11,batch,f64,131072,0.67731636
62733195,0,batch,f64,262144,1.3519364
62733195,1,batch,f64,262144,1.36439575
62733195,2,batch,f64,262144,1.31206864
62733195,3,batch,f64,262144,1.35786368
62733195,4,batch,f64,262144,1.35278357
62733195,5,batch,f64,262144,1.35496744
62733195,6,batch,f64,262144,1.35415731
62733195,7,batch,f64,262144,1.39350708
62733195,8,batch,f64,262144,1.43865087
62733195,9,batch,f64,262144,1.42974338
62733195,10,batch,f64,262144,1.38150873
62733195,11,batch,f64,262144,1.39612661
62733459,0,dim,f64,1,0.00558699106
62733459,1,dim,f64,1,0.00508984822
62733459,2,dim,f64,1,0.00509143395
62733459,3,dim,f64,1,0.00500260544
62733459,4,dim,f64,1,0.00566248275
62733459,5,dim,f64,1,0.00589679069
62733459,6,dim,f64,1,0.00528308706
62733459,7,dim,f64,1,0.0058340255
62733459,8,dim,f64,1,0.0053194635
62733459,9,dim,f64,1,0.00586881281
62733459,10,dim,f64,1,0.00582181325
62733459,11,dim,f64,1,0.0058216925
62733470,0,dim,f64,2,0.0269914955
62733470,1,dim,f64,2,0.025706997
62733470,2,dim,f64,2,0.0298884105
62733470,3,dim,f64,2,0.028399657
62733470,4,dim,f64,2,0.025953659
62733470,5,dim,f64,2,0.028546865
62733470,6,dim,f64,2,0.0264498915
62733470,7,dim,f64,2,0.027149491
62733470,8,dim,f64,2,0.0299607185
62733470,9,dim,f64,2,0.0255752065
62733470,10,dim,f64,2,0.02513827
62733470,11,dim,f64,2,0.02679847
62733490,0,dim,f64,4,0.0098662009
62733490,1,dim,f64,4,0.0090047071
62733490,2,dim,f64,4,0.0091390473
62733490,3,dim,f64,4,0.0106569971
62733490,4,dim,f64,4,0.0098989934
62733490,5,dim,f64,4,0.0118872888
62733490,6,dim,f64,4,0.0101546383
62733490,7,dim,f64,4,0.0094684338
62733490,8,dim,f64,4,0.010525461
62733490,9,dim,f64,4,0.0294589725
62733490,10,dim,f64,4,0.0101281992
62733490,11,dim,f64,4,0.010067128
62733503,0,dim,f64,8,0.00983308
62733503,1,dim,f64,8,0.0088930892
62733503,2,dim,f64,8,0.00820949225
62733503,3,dim,f64,8,0.0086508704
62733503,4,dim,f64,8,0.0095803427
62733503,5,dim,f64,8,0.0102303343
62733503,6,dim,f64,8,0.0086442791
62733503,7,dim,f64,8,0.0111691643
62733503,8,dim,f64,8,0.0086389612
62733503,9,dim,f64,8,0.0093711635
62733503,10,dim,f64,8,0.0094387595
62733503,11,dim,f64,8,0.0104992745
62733521,0,dim,f64,16,0.0095112219
62733521,1,dim,f64,16,0.0098315571
62733521,2,dim,f64,16,0.0088335299
62733521,3,dim,f64,16,0.0089835584
62733521,4,dim,f64,16,0.0089990717
62733521,5,dim,f64,16,0.0087409507
62733521,6,dim,f64,16,0.0095907467
62733521,7,dim,f64,16,0.0100828435
62733521,8,dim,f64,16,0.0099545447
62733521,9,dim,f64,16,0.0089574822
62733521,10,dim,f64,16,0.0088616443
