run,repeat,sweep,dtype,size,seconds
62733613,0,batch,f64,2,0.00629198375
62733613,1,batch,f64,2,0.00549297478
62733613,2,batch,f64,2,0.00634520157
62733613,3,batch,f64,2,0.00647597907
62733613,4,batch,f64,2,0.0069866765
62733613,5,batch,f64,2,0.00591826694
62733613,6,batch,f64,2,0.00660303364
62733613,7,batch,f64,2,0.00694610471
62733613,8,batch,f64,2,0.00634356636
62733613,9,batch,f64,2,0.00554411806
62733613,10,batch,f64,2,0.00640099136
62733613,11,batch,f64,2,0.00591222169
62733612,0,batch,f64,1,0.00507658314
62733612,1,batch,f64,1,0.00624142837
62733612,2,batch,f64,1,0.00583636462
62733612,3,batch,f64,1,0.00527702322
62733612,4,batch,f64,1,0.0055398825
62733612,5,batch,f64,1,0.00627171764
62733612,6,batch,f64,1,0.00565624769
62733612,7,batch,f64,1,0.00494994317
62733612,8,batch,f64,1,0.00535151456
62733612,9,batch,f64,1,0.005913638
62733612,10,batch,f64,1,0.00470471475
62733612,11,batch,f64,1,0.00533976988
62733617,0,batch,f64,4,0.007717297
62733617,1,batch,f64,4,0.00753079834
62733617,2,batch,f64,4,0.00637349393
62733617,3,batch,f64,4,0.00748809834
62733617,4,batch,f64,4,0.00700641078
62733617,5,batch,f64,4,0.00773379408
62733617,6,batch,f64,4,0.0077834665
62733617,7,batch,f64,4,0.0074843795
62733617,8,batch,f64,4,0.0087297301
62733617,9,batch,f64,4,0.00711050341
62733617,10,batch,f64,4,0.00833583308
62733617,11,batch,f64,4,0.0085897636
62733618,0,batch,f64,8,0.0102401931
62733618,1,batch,f64,8,0.0085006461
62733618,2,batch,f64,8,0.00783107834
62733618,3,batch,f64,8,0.0088694608
62733618,4,batch,f64,8,0.0087860582
62733618,5,batch,f64,8,0.0090903298
62733618,6,batch,f64,8,0.0088106475
62733618,7,batch,f64,8,0.00818806408
62733618,8,batch,f64,8,0.00760032558
62733618,9,batch,f64,8,0.00888050779
62733618,10,batch,f64,8,0.0091114766
62733618,11,batch,f64,8,0.0087384512
62733626,0,batch,f64,16,0.009834633
62733626,1,batch,f64,16,0.0094097888
62733626,2,batch,f64,16,0.0101562249
62733626,3,batch,f64,16,0.0092187652
62733626,4,batch,f64,16,0.009789518
62733626,5,batch,f64,16,0.00960160319
62733626,6,batch,f64,16,0.0096319568
62733626,7,batch,f64,16,0.0099386216
62733626,8,batch,f64,16,0.0098369802
62733626,9,batch,f64,16,0.0106646604
62733626,10,batch,f64,16,0.0102980168
62733626,11,batch,f64,16,0.0092539317
62733627,0,batch,f64,32,0.0104120954
62733627,1,batch,f64,32,0.0106588795
62733627,2,batch,f64,32,0.0096984969
62733627,3,batch,f64,32,0.0121498438
62733627,4,batch,f64,32,0.0094402841
62733627,5,batch,f64,32,0.0106367136
62733627,6,batch,f64,32,0.0104146926
62733627,7,batch,f64,32,0.0103796936
62733627,8,batch,f64,32,0.0112315278
62733627,9,batch,f64,32,0.0100060998
62733627,10,batch,f64,32,0.009480078
62733627,11,batch,f64,32,0.0100762313
62733630,0,batch,f64,128,0.014363701
62733630,1,batch,f64,128,0.0136142433
62733630,2,batch,f64,128,0.0128935242
62733630,3,batch,f64,128,0.0152683587
62733630,4,batch,f64,128,0.0140379015
62733630,5,batch,f64,128,0.0131271587
62733630,6,batch,f64,128,0.0130462242
62733630,7,batch,f64,128,0.0133952503
62733630,8,batch,f64,128,0.013160018
62733630,9,batch,f64,128,0.0138041282
62733630,10,batch,f64,128,0.0136219633
62733630,11,batch,f64,128,0.0130049092
62733629,0,batch,f64,64,0.0130622782
62733629,1,batch,f64,64,0.0121951245
62733629,2,batch,f64,64,0.0119324128
62733629,3,batch,f64,64,0.0114137893
62733629,4,batch,f64,64,0.011687405
62733629,5,batch,f64,64,0.0119263563
62733629,6,batch,f64,64,0.011365571
62733629,7,batch,f64,64,0.0122077314
62733629,8,batch,f64,64,0.0115598995
62733629,9,batch,f64,64,0.0115773724
62733629,10,batch,f64,64,0.011114164
62733629,11,batch,f64,64,0.0128181927
62733637,0,batch,f64,512,0.029679949
62733637,1,batch,f64,512,0.0319663095
62733637,2,batch,f64,512,0.0269060415
62733637,3,batch,f64,512,0.029007821
62733637,4,batch,f64,512,0.0291032905
62733637,5,batch,f64,512,0.0290472705
62733637,6,batch,f64,512,0.027799215
62733637,7,batch,f64,512,0.028538239
62733637,8,batch,f64,512,0.029683257
62733637,9,batch,f64,512,0.0302068485
62733637,10,batch,f64,512,0.0305682675
62733637,11,batch,f64,512,0.027304087
62733636,0,batch,f64,256,0.017172371
62733636,1,batch,f64,256,0.0198710548
62733636,2,batch,f64,256,0.0187266993
62733636,3,batch,f64,256,0.0181302303
62733636,4,batch,f64,256,0.018066122
62733636,5,batch,f64,256,0.0181851618
62733636,6,batch,f64,256,0.0220251157
62733636,7,batch,f64,256,0.0174728102
62733636,8,batch,f64,256,0.0209966587
62733636,9,batch,f64,256,0.0217374765
62733636,10,batch,f64,256,0.019042086
62733636,11,batch,f64,256,0.0198427737
62733645,0,batch,f64,1024,0.0452886525
62733645,1,batch,f64,1024,0.043938974
62733645,2,batch,f64,1024,0.047669527
62733645,3,batch,f64,1024,0.0459583775
62733645,4,batch,f64,1024,0.050513324
62733645,5,batch,f64,1024,0.0423525545
62733645,6,batch,f64,1024,0.0454925165
62733645,7,batch,f64,1024,0.043401916
62733645,8,batch,f64,1024,0.044096422
62733645,9,batch,f64,1024,0.047018701
62733645,10,batch,f64,1024,0.052195292
62733645,11,batch,f64,1024,0.0459252045
62733646,0,batch,f64,2048,0.098199313
62733646,1,batch,f64,2048,0.087892516
62733646,2,batch,f64,2048,0.09513718
62733646,3,batch,f64,2048,0.098732052
62733646,4,batch,f64,2048,0.10251707
62733646,5,batch,f64,2048,0.095643366
62733646,6,batch,f64,2048,0.088753364
62733646,7,batch,f64,2048,0.081749345
62733646,8,batch,f64,2048,0.088991852
62733646,9,batch,f64,2048,0.09905544
62733646,10,batch,f64,2048,0.085546356
62733646,11,batch,f64,2048,0.087696581
62733654,0,batch,f64,4096,0.231428572
62733654,1,batch,f64,4096,0.209440113
62733654,2,batch,f64,4096,0.20728137
62733654,3,batch,f64,4096,0.21696051
62733654,4,batch,f64,4096,0.224279681
62733654,5,batch,f64,4096,0.253974902
62733654,6,batch,f64,4096,0.226251934
62733654,7,batch,f64,4096,0.21038801
62733654,8,batch,f64,4096,0.21854508
62733654,9,batch,f64,4096,0.20969468
62733654,10,batch,f64,4096,0.218583649
62733654,11,batch,f64,4096,0.21775245
62733655,0,batch,f64,8192,0.502822875
62733655,1,batch,f64,8192,0.434283935
62733655,2,batch,f64,8192,0.45114452
62733655,3,batch,f64,8192,0.436991785
62733655,4,batch,f64,8192,0.464970603
62733655,5,batch,f64,8192,0.449685031
62733655,6,batch,f64,8192,0.43508926
62733655,7,batch,f64,8192,0.451115411
62733655,8,batch,f64,8192,0.406648526
62733655,9,batch,f64,8192,0.457128187
62733655,10,batch,f64,8192,0.456743787
62733655,11,batch,f64,8192,0.408205452
62733667,0,batch,f64,16384,0.987028819
62733667,1,batch,f64,16384,0.922652668
62733667,2,batch,f64,16384,0.958150634
62733667,3,batch,f64,16384,0.931876931
62733667,4,batch,f64,16384,0.973988349
62733667,5,batch,f64,16384,0.952250142
62733667,6,batch,f64,16384,0.944697792
62733667,7,batch,f64,16384,0.927269496
62733667,8,batch,f64,16384,0.948314649
62733667,9,batch,f64,16384,1.05644517
62733667,10,batch,f64,16384,1.0003388
62733667,11,batch,f64,16384,1.10682997
62733679,0,batch,f64,131072,9.98305064
62733679,1,batch,f64,131072,11.4448236
62733691,0,batch,f64,262144,23.1162133
62733731,0,dim,f64,1,0.0151243235
62733731,1,dim,f64,1,0.0138995363
62733731,2,dim,f64,1,0.0138983942
62733731,3,dim,f64,1,0.0139480692
62733731,4,dim,f64,1,0.0155922027
62733731,5,dim,f64,1,0.0153206242
62733731,6,dim,f64,1,0.0141890312
62733731,7,dim,f64,1,0.0155283835
62733731,8,dim,f64,1,0.0139738838
62733731,9,dim,f64,1,0.0153495852
62733731,10,dim,f64,1,0.0155831943
62733731,11,dim,f64,1,0.015299283
62733739,0,dim,f64,4,0.030147511
62733739,1,dim,f64,4,0.0284078745
62733739,2,dim,f64,4,0.028278846
62733739,3,dim,f64,4,0.0332521715
62733739,4,dim,f64,4,0.0303813735
62733739,5,dim,f64,4,0.036969278
62733739,6,dim,f64,4,0.031181803
62733739,7,dim,f64,4,0.0293335715
62733739,8,dim,f64,4,0.033244519
62733739,9,dim,f64,4,0.095982017
62733739,10,dim,f64,4,0.0312026755
62733739,11,dim,f64,4,0.0310161965
62733738,0,dim,f64,2,0.076767806
62733738,1,dim,f64,2,0.072740011
62733738,2,dim,f64,2,0.08333924
62733738,3,dim,f64,2,0.078644522
62733738,4,dim,f64,2,0.073382745
62733738,5,dim,f64,2,0.076254376
62733738,6,dim,f64,2,0.075002749
62733738,7,dim,f64,2,0.076202026
62733738,8,dim,f64,2,0.079984676
62733738,9,dim,f64,2,0.073846625
