run,repeat,sweep,dtype,size,seconds
62700885,0,batch,f64,2,0.00436624446
62700885,1,batch,f64,2,0.00383732385
62700885,2,batch,f64,2,0.00436768586
62700885,3,batch,f64,2,0.00456198205
62700885,4,batch,f64,2,0.0049406976
62700885,5,batch,f64,2,0.00408212321
62700885,6,batch,f64,2,0.0045784256
62700885,7,batch,f64,2,0.0048218878
62700885,8,batch,f64,2,0.00435188
62700885,9,batch,f64,2,0.003889137
62700885,10,batch,f64,2,0.00441980982
62700885,11,batch,f64,2,0.00410593612
62700884,0,batch,f64,1,0.00377257935
62700884,1,batch,f64,1,0.00476850665
62700884,2,batch,f64,1,0.00444530768
62700884,3,batch,f64,1,0.00403292825
62700884,4,batch,f64,1,0.0044697415
62700884,5,batch,f64,1,0.00474086125
62700884,6,batch,f64,1,0.00426134736
62700884,7,batch,f64,1,0.00399980683
62700884,8,batch,f64,1,0.00408275012
62700884,9,batch,f64,1,0.0042713525
62700884,10,batch,f64,1,0.00374528285
62700884,11,batch,f64,1,0.00403637587
62700889,0,batch,f64,8,0.0071267525
62700889,1,batch,f64,8,0.00583392956
62700889,2,batch,f64,8,0.00546724172
62700889,3,batch,f64,8,0.00615627862
62700889,4,batch,f64,8,0.00615247613
62700889,5,batch,f64,8,0.00621155863
62700889,6,batch,f64,8,0.00610992669
62700889,7,batch,f64,8,0.00577011525
62700889,8,batch,f64,8,0.00520199439
62700889,9,batch,f64,8,0.00606412856
62700889,10,batch,f64,8,0.00634114657
62700889,11,batch,f64,8,0.00612708406
62700888,0,batch,f64,4,0.00521235011
62700888,1,batch,f64,4,0.00521409644
62700888,2,batch,f64,4,0.00437738941
62700888,3,batch,f64,4,0.0051427905
62700888,4,batch,f64,4,0.00487570315
62700888,5,batch,f64,4,0.00528318117
62700888,6,batch,f64,4,0.005229185
62700888,7,batch,f64,4,0.00514608033
62700888,8,batch,f64,4,0.00590677862
62700888,9,batch,f64,4,0.00494512228
62700888,10,batch,f64,4,0.00571135162
62700888,11,batch,f64,4,0.00580043613
62700892,0,batch,f64,16,0.00666438886
62700892,1,batch,f64,16,0.00620974393
62700892,2,batch,f64,16,0.00688703143
62700892,3,batch,f64,16,0.00629248829
62700892,4,batch,f64,16,0.00632058228
62700892,5,batch,f64,16,0.00669680557
62700892,6,batch,f64,16,0.00649904643
62700892,7,batch,f64,16,0.00659593743
62700892,8,batch,f64,16,0.0066994735
62700892,9,batch,f64,16,0.00718736475
62700892,10,batch,f64,16,0.00703641457
62700892,11,batch,f64,16,0.00598859262
62700893,0,batch,f64,32,0.007207228
62700893,1,batch,f64,32,0.00723364967
62700893,2,batch,f64,32,0.00660581543
62700893,3,batch,f64,32,0.00833203492
62700893,4,batch,f64,32,0.00641439786
62700893,5,batch,f64,32,0.007220248
62700893,6,batch,f64,32,0.00672294343
62700893,7,batch,f64,32,0.00711695736
62700893,8,batch,f64,32,0.00759336075
62700893,9,batch,f64,32,0.00685886014
62700893,10,batch,f64,32,0.00640427078
62700893,11,batch,f64,32,0.00662211029
62700900,0,batch,f64,64,0.0088845547
62700900,1,batch,f64,64,0.0081603413
62700900,2,batch,f64,64,0.00815381225
62700900,3,batch,f64,64,0.0078098225
62700900,4,batch,f64,64,0.00805139192
62700900,5,batch,f64,64,0.00800089908
