run,repeat,sweep,dtype,size,seconds
62724941,0,batch,f64,1,0.0045645517
62724941,1,batch,f64,1,0.00571363
62724941,2,batch,f64,1,0.0048459174
62724941,3,batch,f64,1,0.0047627171
62724941,4,batch,f64,1,0.005091151
62724941,5,batch,f64,1,0.011078387
62724941,6,batch,f64,1,0.0050046324
62724941,7,batch,f64,1,0.0045644376
62724941,8,batch,f64,1,0.00565513269
62724941,9,batch,f64,1,0.005286012
62724941,10,batch,f64,1,0.0045628859
62724941,11,batch,f64,1,0.00652803507
62724954,0,batch,f64,2,0.0100599266
62724954,1,batch,f64,2,0.0090863259
62724954,2,batch,f64,2,0.0092980897
62724954,3,batch,f64,2,0.0093498512
62724954,4,batch,f64,2,0.011320503
62724954,5,batch,f64,2,0.0099935695
62724954,6,batch,f64,2,0.0135104122
62724954,7,batch,f64,2,0.0102404071
62724954,8,batch,f64,2,0.0093861023
62724954,9,batch,f64,2,0.0092756293
62724954,10,batch,f64,2,0.00998321875
62724954,11,batch,f64,2,0.0095255251
62724955,0,batch,f64,4,0.0202008625
62724955,1,batch,f64,4,0.0198335892
62724955,2,batch,f64,4,0.017996877
62724955,3,batch,f64,4,0.0193421223
62724955,4,batch,f64,4,0.021145262
62724955,5,batch,f64,4,0.0200081055
62724955,6,batch,f64,4,0.0200497302
62724955,7,batch,f64,4,0.019786241
62724955,8,batch,f64,4,0.0220940755
62724955,9,batch,f64,4,0.0197207875
62724955,10,batch,f64,4,0.020765587
62724955,11,batch,f64,4,0.0206645195
62724961,0,batch,f64,8,0.0441704805
62724961,1,batch,f64,8,0.038661123
62724961,2,batch,f64,8,0.037543126
62724961,3,batch,f64,8,0.044193269
62724961,4,batch,f64,8,0.040323379
62724961,5,batch,f64,8,0.039762771
62724961,6,batch,f64,8,0.042052532
62724961,7,batch,f64,8,0.04144401
62724961,8,batch,f64,8,0.035060597
62724961,9,batch,f64,8,0.038285426
62724961,10,batch,f64,8,0.047684651
62724961,11,batch,f64,8,0.0413739475
62724963,0,batch,f64,16,0.084338174
62724963,1,batch,f64,16,0.079147511
62724963,2,batch,f64,16,0.085334142
62724963,3,batch,f64,16,0.082308184
62724963,4,batch,f64,16,0.083607207
62724963,5,batch,f64,16,0.084462429
62724963,6,batch,f64,16,0.074792179
62724963,7,batch,f64,16,0.080520636
62724963,8,batch,f64,16,0.093581464
62724963,9,batch,f64,16,0.082959531
62724963,10,batch,f64,16,0.0846647579
62724963,11,batch,f64,16,0.084317901
62724965,0,batch,f64,32,0.162204791
62724965,1,batch,f64,32,0.161771315
62724965,2,batch,f64,32,0.158713376
62724965,3,batch,f64,32,0.175049429
62724965,4,batch,f64,32,0.160158782
62724965,5,batch,f64,32,0.16381318
62724965,6,batch,f64,32,0.159512692
62724965,7,batch,f64,32,0.163275178
62724965,8,batch,f64,32,0.160367344
62724965,9,batch,f64,32,0.159545833
62724965,10,batch,f64,32,0.156604611
62724965,11,batch,f64,32,0.168140698
62724974,0,batch,f64,64,0.33708657
62724974,1,batch,f64,64,0.331299989
62724974,2,batch,f64,64,0.333836603
62724974,3,batch,f64,64,0.326140258
62724974,4,batch,f64,64,0.340124236
62724974,5,batch,f64,64,0.33533623
62724974,6,batch,f64,64,0.323573146
62724974,7,batch,f64,64,0.322660182
62724974,8,batch,f64,64,0.320462889
62724974,9,batch,f64,64,0.324718778
62724974,10,batch,f64,64,0.332327522
62724974,11,batch,f64,64,0.334281654
62724981,0,batch,f64,128,0.646747474
62724981,1,batch,f64,128,0.646465121
62724981,2,batch,f64,128,0.640234397
62724981,3,batch,f64,128,0.644922775
62724981,4,batch,f64,128,0.649699055
62724981,5,batch,f64,128,0.648298167
62724981,6,batch,f64,128,0.648840769
62724981,7,batch,f64,128,0.653849659
62724981,8,batch,f64,128,0.648529662
62724981,9,batch,f64,128,0.641921405
62724981,10,batch,f64,128,0.639417602
62724981,11,batch,f64,128,0.656469008
62724991,0,batch,f64,256,1.31190823
62724991,1,batch,f64,256,1.31090763
62724991,2,batch,f64,256,1.31328355
62724991,3,batch,f64,256,1.31989609
62724991,4,batch,f64,256,1.29559698
62724991,5,batch,f64,256,1.3233282
62724991,6,batch,f64,256,1.31300383
62724991,7,batch,f64,256,1.32842697
62724991,8,batch,f64,256,1.31045919
62724991,9,batch,f64,256,1.29667725
62724991,10,batch,f64,256,1.30087795
62724991,11,batch,f64,256,1.31554646
62725073,0,batch,f64,512,2.63381549
62725073,1,batch,f64,512,2.6795013
62725073,2,batch,f64,512,2.62271385
62725073,3,batch,f64,512,2.63881671
62725073,4,batch,f64,512,2.59256704
62725073,5,batch,f64,512,2.63684921
62725073,6,batch,f64,512,2.64347097
62725073,7,batch,f64,512,2.60994155
62725073,8,batch,f64,512,2.62496518
62725073,9,batch,f64,512,2.63447907
62725073,10,batch,f64,512,2.62834985
62725073,11,batch,f64,512,2.60191009
62725141,0,batch,f64,1024,5.22874451
62725141,1,batch,f64,1024,5.28634215
62725141,2,batch,f64,1024,5.29599497
62725141,3,batch,f64,1024,5.27037658
62725141,4,batch,f64,1024,5.31019599
62725141,5,batch,f64,1024,5.35396848
62725141,6,batch,f64,1024,5.25776546
62725141,7,batch,f64,1024,5.27670456
62725141,8,batch,f64,1024,5.31368105
62725141,9,batch,f64,1024,5.28493242
